street,number,name,amenity,craft,healthcare,historic,leisure,office,public_transport,shop,tourism,geometry
,,Церква Стрітення Господнього,place_of_worship,,,,,,,,,"POLYGON ((24.005031 49.8110026, 24.0050297 49.8109691, 24.005013 49.8109752, 24.0050116 49.810953, 24.0050103 49.8109302, 24.005027 49.8109332, 24.0050252 49.810897, 24.0051021 49.8108952, 24.0051004 49.8108642, 24.0052791 49.81086, 24.0052809 49.810893, 24.0053154 49.810925, 24.005316 49.8109605, 24.0052864 49.8109924, 24.0052883 49.8110262, 24.0051144 49.8110302, 24.0051128 49.8110007, 24.005031 49.8110026))"
,,,,,,,park,,,,,"POLYGON ((24.0610498 49.8610218, 24.0605437 49.8601664, 24.0601149 49.8596644, 24.0603293 49.8595262, 24.0614239 49.8596499, 24.0613675 49.8602683, 24.0613728 49.8608298, 24.0613788 49.8609594, 24.0610498 49.8610218))"
,,,parking,,,,,,,,,"POLYGON ((24.0309581 49.8159554, 24.0309139 49.8160485, 24.0306268 49.8159917, 24.030671 49.8158987, 24.0309581 49.8159554))"
вулиця Княгині Ольги,106,Mahazyn Shashluku,bbq,,,,,,,,,"POLYGON ((23.9989154 49.8100403, 23.9989024 49.8099939, 23.9988677 49.8099729, 23.9989036 49.8099392, 23.9989413 49.8099553, 23.9989667 49.8099331, 23.9990188 49.8099569, 23.9989917 49.8099823, 23.9989931 49.8100172, 23.9989673 49.8100409, 23.9989154 49.8100403))"
,,Red Night City,restaurant,,,,,,,,,"POLYGON ((23.9989984 49.8095045, 23.99904 49.8096728, 23.9989092 49.8096863, 23.9988675 49.809518, 23.9988765 49.8095171, 23.9989353 49.809511, 23.9989984 49.8095045))"
,,,parking,,,,,,,,,"POLYGON ((23.9672487 49.8460656, 23.9671333 49.8464236, 23.9670717 49.8464154, 23.9671871 49.8460573, 23.9672487 49.8460656))"
,,,parking,,,,,,,,,"POLYGON ((23.9671963 49.8449561, 23.9671601 49.845091, 23.9671067 49.8450851, 23.9671429 49.8449502, 23.9671963 49.8449561))"
,,,parking,,,,,,,,,"POLYGON ((23.9670173 49.8445821, 23.9670793 49.8445903, 23.9669868 49.8448801, 23.9669248 49.8448718, 23.9670173 49.8445821))"
,,,parking,,,,,,,,,"POLYGON ((24.0276406 49.8523867, 24.0277508 49.8523741, 24.0278712 49.8525713, 24.0279431 49.8526889, 24.0278264 49.8526851, 24.0276406 49.8523867))"
,,,parking,,,,,,,,,"POLYGON ((24.0281436 49.8525948, 24.0279943 49.8523435, 24.0282481 49.8522808, 24.0284066 49.8525346, 24.0281436 49.8525948))"
,,,parking,,,,,,,,,"POLYGON ((23.9872708 49.839354, 23.9873332 49.8393303, 23.9875605 49.8394772, 23.9875109 49.839511, 23.9872708 49.839354))"
,,,parking,,,,,,,,,"POLYGON ((23.9880898 49.8411692, 23.9881519 49.8412741, 23.988235 49.8413692, 23.9883276 49.841435, 23.9883968 49.841475, 23.9883592 49.8415028, 23.9883443 49.8415113, 23.9882786 49.8414715, 23.9881814 49.8413971, 23.9880962 49.8412934, 23.9880345 49.8411781, 23.9880898 49.8411692))"
,,,parking,,,,,,,,,"POLYGON ((24.0579662 49.8174842, 24.0580333 49.8174999, 24.0578904 49.8177904, 24.057824 49.8177769, 24.0579662 49.8174842))"
,,Дошкільний навчальний заклад №116,kindergarten,,,,,,,,,"POLYGON ((24.019013 49.8540263, 24.0200295 49.8536994, 24.0204386 49.85383, 24.0200175 49.8547491, 24.0193671 49.8545524, 24.0193105 49.8546411, 24.0189205 49.8544106, 24.0191305 49.8542145, 24.019013 49.8540263))"
,,,,,,,pitch,,,,,"POLYGON ((23.9725236 49.8415242, 23.9722733 49.8415121, 23.9723019 49.8412654, 23.9725523 49.8412775, 23.9725236 49.8415242))"
,,,parking,,,,,,,,,"POLYGON ((24.0514158 49.8130374, 24.0514118 49.8127865, 24.0514719 49.8127861, 24.051476 49.813037, 24.0514158 49.8130374))"
,,,parking,,,,,,,,,"POLYGON ((24.0479564 49.8135329, 24.0484218 49.8135268, 24.0484231 49.8135692, 24.0479578 49.8135753, 24.0479564 49.8135329))"
,,,parking,,,,,,,,,"POLYGON ((24.0496087 49.8133256, 24.0499024 49.8133256, 24.0499024 49.8133827, 24.0496087 49.8133827, 24.0496087 49.8133256))"
проспект Червоної Калини,13а,Укрнафта,fuel,,,,,,,,,"POLYGON ((24.0464197 49.8116055, 24.0463951 49.8116998, 24.0462925 49.8116887, 24.0463171 49.8115944, 24.0463489 49.8115978, 24.0464197 49.8116055))"
,,,parking,,,,,,,,,"POLYGON ((23.9599369 49.8488936, 23.9599883 49.8489311, 23.9596021 49.848932, 23.9596016 49.8488943, 23.9599369 49.8488936))"
,,,parking,,,,,,,,,"POLYGON ((23.9600354 49.8490742, 23.9600342 49.8490447, 23.9601361 49.849043, 23.9601373 49.8490725, 23.9600354 49.8490742))"
,,,parking,,,,,,,,,"POLYGON ((23.9599818 49.8496561, 23.9600254 49.84962, 23.9603714 49.8496226, 23.9604217 49.8496585, 23.9599818 49.8496561))"
,,,parking,,,,,,,,,"POLYGON ((23.96119 49.849633, 23.9611891 49.8495966, 23.9614822 49.849594, 23.9615266 49.8496313, 23.96119 49.849633))"
,,,,,,,pitch,,,,,"POLYGON ((24.0605311 49.8606866, 24.0602231 49.8607687, 24.0601087 49.86059, 24.0599914 49.8604076, 24.0602989 49.8603245, 24.0605311 49.8606866))"
,,,parking,,,,,,,,,"POLYGON ((24.0307502 49.8650754, 24.0309245 49.864811, 24.0313903 49.8649358, 24.0316008 49.8647137, 24.0318821 49.8648146, 24.031416 49.8652578, 24.0307502 49.8650754))"
,,,library,,,,,,,,,"POLYGON ((24.0181973 49.8359977, 24.0181144 49.8359397, 24.0179132 49.8357988, 24.018039 49.8357205, 24.0180663 49.8357049, 24.018137 49.8356644, 24.018171 49.8356455, 24.0182019 49.835629, 24.0185193 49.8354597, 24.0185965 49.8354185, 24.0186301 49.8354026, 24.0187468 49.8354843, 24.0187099 49.8355069, 24.0187245 49.8355401, 24.0188299 49.8356115, 24.018693 49.8356951, 24.0181973 49.8359977))"
Рудненська вулиця,14,Укрнафта,fuel,,,,,,,kiosk,,"POLYGON ((23.9656229 49.8370339, 23.965621 49.837033, 23.965697 49.8369717, 23.9656983 49.8369724, 23.9657053 49.8369667, 23.9657637 49.8369968, 23.9657564 49.8370026, 23.9657776 49.8370135, 23.9659066 49.8370802, 23.9660231 49.8371403, 23.965947 49.8372015, 23.9658288 49.8371405, 23.9657024 49.8370752, 23.965681 49.8370642, 23.9656751 49.837069, 23.9656167 49.8370389, 23.9656229 49.8370339))"
,,Автомийка-самообслуговування SAMWASH,car_wash,,,,,,,,,"POLYGON ((23.9667147 49.8367677, 23.9668681 49.8369387, 23.9667761 49.8369731, 23.9666226 49.836802, 23.9666374 49.8367964, 23.9666197 49.8367768, 23.9666832 49.8367531, 23.966701 49.8367729, 23.9667147 49.8367677))"
,,,parking,,,,,,,,,"POLYGON ((23.9683833 49.8368853, 23.9683636 49.8368448, 23.9690436 49.8367116, 23.9690633 49.8367521, 23.9683833 49.8368853))"
,,,parking,,,,,,,,,"POLYGON ((23.9601728 49.8491924, 23.960354 49.8491885, 23.9603557 49.8492228, 23.9603269 49.8492234, 23.9603306 49.8492955, 23.960269 49.8492968, 23.9602656 49.8492312, 23.9601749 49.8492331, 23.9601728 49.8491924))"
,,РОМ ЛТД,,,,,,,,doityourself,,"POLYGON ((23.9836089 49.8413928, 23.9828874 49.8416212, 23.9821042 49.8399562, 23.9829518 49.8397677, 23.9834453 49.8405995, 23.983059 49.8406854, 23.9832589 49.8409794, 23.9836089 49.8413928))"
,,Собор Святого Юра,,,,,,,platform,,,"POLYGON ((24.0118508 49.8371436, 24.0117399 49.8370995, 24.0116242 49.8370535, 24.0116449 49.8370319, 24.0118715 49.8371219, 24.0118508 49.8371436))"
,,,parking,,,,,,,,,"POLYGON ((23.9602429 49.8474475, 23.9604118 49.8473783, 23.9604477 49.8474148, 23.9602788 49.847484, 23.9602429 49.8474475))"
,,,parking,,,,,,,,,"POLYGON ((23.9593708 49.8476184, 23.9593073 49.8475267, 23.9593648 49.8475101, 23.9594283 49.8476018, 23.9593708 49.8476184))"
,,,parking,,,,,,,,,"POLYGON ((23.9601704 49.8469909, 23.9601989 49.8470191, 23.9597765 49.8471964, 23.959748 49.8471682, 23.9601704 49.8469909))"
,,,parking,,,,,,,,,"POLYGON ((23.9589842 49.8476066, 23.9589735 49.8475932, 23.9589547 49.8475781, 23.9592645 49.8474916, 23.9592833 49.8475214, 23.9589842 49.8476066))"
,,,parking,,,,,,,,,"POLYGON ((23.9585102 49.8476974, 23.9580622 49.8478098, 23.95802 49.8477938, 23.9585249 49.8476672, 23.9585102 49.8476974))"
,,,parking,,,,,,,,,"POLYGON ((23.9593711 49.8479897, 23.9593708 49.8479621, 23.9596725 49.8479603, 23.9596729 49.847988, 23.9593711 49.8479897))"
,,,,,,,playground,,,,,"POLYGON ((23.9601704 49.8475911, 23.9605151 49.8474458, 23.960615 49.8475487, 23.9602992 49.8476827, 23.9602549 49.8476771, 23.9601704 49.8475911))"
,,,parking,,,,,,,,,"POLYGON ((23.9587656 49.8481108, 23.9587636 49.8480848, 23.9587824 49.8480822, 23.9588139 49.8480745, 23.9588407 49.848065, 23.9588615 49.8480896, 23.9588354 49.8481004, 23.9587891 49.8481095, 23.9587656 49.8481108))"
,,,parking,,,,,,,,,"POLYGON ((23.9586972 49.847937, 23.9587026 49.8479642, 23.9586791 49.8479763, 23.9586617 49.848007, 23.9586584 49.8480407, 23.9586724 49.8480671, 23.9587254 49.8480874, 23.9587267 49.8481129, 23.9586946 49.8481129, 23.9586396 49.8480913, 23.9586128 49.8480498, 23.9586134 49.8480027, 23.9586416 49.847962, 23.9586972 49.847937))"
,,,,,,,playground,,,,,"POLYGON ((23.9586201 49.8483823, 23.9589272 49.8483806, 23.9589272 49.8485726, 23.9588186 49.8485682, 23.958655 49.8484325, 23.9586201 49.8483823))"
,,,parking,,,,,,,,,"POLYGON ((23.9601341 49.8446508, 23.9601199 49.8445175, 23.9601173 49.8444976, 23.9602943 49.8444893, 23.9603114 49.8446419, 23.9602236 49.844646, 23.9601341 49.8446508))"
,,,parking,,,,,,,,,"POLYGON ((23.9597037 49.8447366, 23.9597037 49.8447848, 23.9597104 49.8448479, 23.9597225 49.8449396, 23.9596742 49.8449417, 23.9594071 49.844684, 23.959699 49.8446669, 23.9597037 49.8447366))"
,,,,,,,playground,,,,,"POLYGON ((23.9594677 49.8455891, 23.9596045 49.8455346, 23.9598218 49.8457361, 23.959583 49.8457171, 23.9594677 49.8455891))"
,,,parking,,,,,,,,,"POLYGON ((23.9589259 49.8457767, 23.9590037 49.8458641, 23.9589053 49.8459005, 23.9588275 49.8458132, 23.9589259 49.8457767))"
,,,parking,,,,,,,,,"POLYGON ((23.9772882 49.8394646, 23.9771977 49.839305, 23.9770403 49.8389984, 23.9771105 49.8389829, 23.9773585 49.8394491, 23.9772882 49.8394646))"
,,,parking,,,,,,,,,"POLYGON ((24.0591212 49.7997834, 24.0582463 49.8000633, 24.0578873 49.8001782, 24.0578623 49.8001456, 24.0590961 49.7997508, 24.0591212 49.7997834))"
,,,parking,,,,,,,,,"POLYGON ((24.0573898 49.8000613, 24.0573903 49.8000206, 24.0578838 49.8000232, 24.0578833 49.8000639, 24.0573898 49.8000613))"
,,,,,,,pitch,,,,,"POLYGON ((24.0214664 49.8364502, 24.0216728 49.8363065, 24.0220752 49.836547, 24.0218687 49.8366907, 24.0214664 49.8364502))"
,,,parking,,,,,,,,,"POLYGON ((24.023423 49.8363196, 24.0234541 49.8362888, 24.0236043 49.836352, 24.0235732 49.8363827, 24.023423 49.8363196))"
,,Перукарня Expert,,,,,,,,hairdresser,,"POLYGON ((24.0090782 49.8423805, 24.008943 49.8423837, 24.0089427 49.8423407, 24.0091213 49.8423376, 24.0090782 49.8423805))"
,,,,,,,pitch,,,,,"POLYGON ((23.9969122 49.8255446, 23.9972526 49.8256769, 23.997151 49.8257856, 23.9968107 49.8256533, 23.9969122 49.8255446))"
,,,,,,,pitch,,,,,"POLYGON ((23.991068 49.8320102, 23.9910513 49.8318861, 23.9914117 49.8318659, 23.9914284 49.8319899, 23.991068 49.8320102))"
,,,,,,,sports_hall,,,,,"POLYGON ((24.0158435 49.8409041, 24.0159952 49.8408622, 24.0160915 49.8410071, 24.0159398 49.841049, 24.0158435 49.8409041))"
,,Гаряча випічка,fast_food,,,,,,,bakery,,"POLYGON ((24.0218505 49.8367603, 24.021879 49.8367773, 24.0218428 49.8368024, 24.0218143 49.8367853, 24.0218505 49.8367603))"
,,Школа № 9,school,,,,,,,,,"POLYGON ((24.0219664 49.8359893, 24.022078 49.8359145, 24.0221423 49.8358714, 24.0226468 49.836197, 24.0226507 49.8362404, 24.022628 49.8362802, 24.022171 49.8365639, 24.022158 49.8365576, 24.022146 49.8365511, 24.0218723 49.836745, 24.0213141 49.8364245, 24.0219664 49.8359893))"
,,,parking,,,,,,,,,"POLYGON ((24.0270902 49.8394814, 24.0270658 49.839469, 24.0274608 49.8391447, 24.0274852 49.839157, 24.0270902 49.8394814))"
,,,,,,,pitch,,,,,"POLYGON ((24.035793 49.8260082, 24.0359469 49.8258749, 24.0362864 49.8260381, 24.0361325 49.8261714, 24.035793 49.8260082))"
,,Кав'ярня,cafe,,,,,,,,,"POLYGON ((24.0341238 49.827466, 24.0343509 49.8275154, 24.034297 49.8276275, 24.034189 49.8275999, 24.0342132 49.8275474, 24.0340946 49.8275197, 24.0341238 49.827466))"
,,Альфа-Вет,veterinary,,,,,,,,,"POLYGON ((24.0097167 49.8304549, 24.0097808 49.8304018, 24.0099043 49.8304639, 24.0098402 49.8305169, 24.0097167 49.8304549))"
,,,parking,,,,,,,,,"POLYGON ((24.0593682 49.8371626, 24.0593354 49.8371008, 24.0594934 49.8370682, 24.0595222 49.8371292, 24.0593682 49.8371626))"
,,,parking,,,,,,,,,"POLYGON ((23.9766191 49.8324739, 23.9770348 49.8325457, 23.9770216 49.8325777, 23.9766058 49.8325059, 23.9766191 49.8324739))"
,,Садовий центр,,,,,,,,garden_centre,,"POLYGON ((23.9136958 49.8246186, 23.9139426 49.8242772, 23.9139959 49.8242034, 23.9140525 49.8241251, 23.9140808 49.8240859, 23.9141056 49.8240516, 23.9156019 49.8245017, 23.9151922 49.8250687, 23.9136958 49.8246186))"
,,,parking,,,,,,,,,"POLYGON ((23.9148086 49.8229654, 23.9151539 49.823035, 23.9151321 49.8230863, 23.9148457 49.8230308, 23.9147026 49.8232676, 23.9146295 49.8232487, 23.9148086 49.8229654))"
,,,parking,,,,,,,,,"POLYGON ((24.0612014 49.813749, 24.0611776 49.8142496, 24.0611133 49.8142484, 24.0611393 49.8137478, 24.0612014 49.813749))"
,,,parking,,,,,,,,,"POLYGON ((24.0090784 49.8272996, 24.0091459 49.8272307, 24.009188 49.8271876, 24.0095806 49.8273362, 24.009595 49.827399, 24.0094779 49.827471, 24.0090784 49.8272996))"
,,,,,,,pitch,,,,,"POLYGON ((23.9720056 49.851701, 23.972369 49.8517749, 23.9723216 49.8518717, 23.9719582 49.8517977, 23.9720056 49.851701))"
,,,,,,,playground,,,,,"POLYGON ((23.9718728 49.8516309, 23.9725836 49.851784, 23.9723355 49.8518869, 23.9721719 49.8518817, 23.9720445 49.8518557, 23.9719345 49.8518151, 23.9718809 49.8517701, 23.9718728 49.8516309))"
,,,,,,,,,,convenience,,"POLYGON ((23.9683518 49.8487274, 23.9683643 49.8486808, 23.9684649 49.848692, 23.9684524 49.8487386, 23.9683518 49.8487274))"
,,,,,,,pitch,,,,,"POLYGON ((23.9675395 49.8499846, 23.9678095 49.8500167, 23.9677258 49.85031, 23.9674558 49.8502779, 23.9675395 49.8499846))"
,,,parking,,,,,,,,,"POLYGON ((23.9684085 49.8491036, 23.9678301 49.8490417, 23.9678757 49.8488965, 23.9683277 49.8489492, 23.9683607 49.8490124, 23.9684085 49.8491036))"
,,,,,,,track,,,,,"POLYGON ((23.9656344 49.8498621, 23.9662263 49.8499247, 23.9664934 49.8499529, 23.9665263 49.8499927, 23.9664777 49.8501887, 23.9663278 49.8507943, 23.9662658 49.850818, 23.9654044 49.8507246, 23.9653959 49.8507157, 23.9653706 49.8506893, 23.9655065 49.8501352, 23.9655664 49.8498911, 23.9655912 49.8498806, 23.9656344 49.8498621))"
,,,,,,,pitch,,,,,"POLYGON ((23.9668648 49.8498164, 23.9671644 49.8498524, 23.9670494 49.8502494, 23.9667498 49.8502133, 23.9668648 49.8498164))"
,,,parking,,,,,,,,,"POLYGON ((23.9670707 49.850593, 23.967121 49.8505979, 23.9670834 49.8507571, 23.9670332 49.8507521, 23.9670707 49.850593))"
,,,parking,,,,,,,,,"POLYGON ((23.9694944 49.8505522, 23.9695514 49.8505462, 23.9698987 49.8505795, 23.9700932 49.8506006, 23.9698162 49.8512438, 23.9697341 49.8512509, 23.969603 49.8512388, 23.9696151 49.8511943, 23.9694434 49.851172, 23.9694944 49.8505522))"
,,,parking,,,,,,,,,"POLYGON ((23.9667491 49.8478433, 23.9666459 49.8481676, 23.9665578 49.8481559, 23.9666611 49.8478316, 23.9667491 49.8478433))"
,,,parking,,,,,,,,,"POLYGON ((24.0315955 49.8378248, 24.031688 49.8375403, 24.0317301 49.8375459, 24.0316376 49.8378305, 24.0315955 49.8378248))"
,,,parking,,,,,,,,,"POLYGON ((24.0433838 49.8112814, 24.0439189 49.8110893, 24.0439466 49.8111267, 24.0434115 49.8113188, 24.0433838 49.8112814))"
,,,parking,,,,,,,,,"POLYGON ((24.0448547 49.811369, 24.045434 49.8111579, 24.0454848 49.8112159, 24.0449054 49.811427, 24.0448547 49.811369))"
,,,parking,,,,,,,,,"POLYGON ((24.0460419 49.7986897, 24.0466186 49.7990048, 24.0465716 49.7990405, 24.045995 49.7987254, 24.0460419 49.7986897))"
,,,cafe,,,,,,,,,"POLYGON ((24.0466033 49.7992945, 24.0467924 49.7993074, 24.0467771 49.7994004, 24.046588 49.7993875, 24.0466033 49.7992945))"
,,,parking,,,,,,,,,"POLYGON ((24.0458887 49.79875, 24.0463083 49.798987, 24.0462618 49.7990213, 24.0458422 49.7987843, 24.0458887 49.79875))"
,,,,,,,,,,kiosk,,"POLYGON ((23.9943048 49.8105189, 23.9943369 49.8106583, 23.9942041 49.8106711, 23.9941719 49.8105317, 23.9943048 49.8105189))"
,,,parking,,,,,,,,,"POLYGON ((23.9768632 49.8119231, 23.9769267 49.8119163, 23.9770389 49.8123502, 23.9769755 49.812357, 23.9768632 49.8119231))"
,,,parking,,,,,,,,,"POLYGON ((23.9779117 49.8125108, 23.9777577 49.8118804, 23.9778009 49.8118759, 23.9779576 49.8125046, 23.9779117 49.8125108))"
,,,,,,,,,platform,,,"POLYGON ((23.9196768 49.8207926, 23.9206316 49.8209612, 23.9205754 49.8210754, 23.920573 49.8210802, 23.9205583 49.821107, 23.9209353 49.8211804, 23.9208672 49.8213723, 23.9203449 49.8212769, 23.9202653 49.821274, 23.919577 49.8211588, 23.9196768 49.8207926))"
,,,parking,,,,,,,,,"POLYGON ((23.9703194 49.8447851, 23.9705233 49.8448059, 23.9704871 49.8449243, 23.9700686 49.8448742, 23.9703194 49.8447851))"
вулиця Білогорща,76а,,,,,ruins,,,,,,"POLYGON ((23.9421777 49.8442965, 23.9421351 49.8442989, 23.9421214 49.8441985, 23.9421714 49.8441957, 23.9421708 49.8441908, 23.9422594 49.8441857, 23.9422602 49.8441912, 23.9423011 49.8441889, 23.9423147 49.8442892, 23.9422341 49.8442937, 23.9422371 49.8443153, 23.9421807 49.8443185, 23.9421777 49.8442965))"
,,,,,,,swimming_pool,,,,,"POLYGON ((23.9430267 49.8438152, 23.9430241 49.8436987, 23.9430761 49.8436982, 23.9430786 49.8438154, 23.9430609 49.8438156, 23.9430613 49.8438308, 23.9430423 49.8438309, 23.943042 49.8438151, 23.9430267 49.8438152))"
,,,,,,,swimming_pool,,,,,"POLYGON ((23.9361801 49.844412, 23.9362558 49.8444218, 23.9362303 49.8445039, 23.9361546 49.8444942, 23.9361801 49.844412))"
,,,,,,,swimming_pool,,,,,"POLYGON ((23.9260152 49.8412583, 23.9260333 49.8411701, 23.9261068 49.8411764, 23.9260887 49.8412646, 23.9260152 49.8412583))"
,,,,,,,swimming_pool,,,,,"POLYGON ((23.9254845 49.8409156, 23.9254953 49.8409182, 23.9255043 49.8409229, 23.9255107 49.8409291, 23.9255138 49.8409363, 23.9255133 49.8409437, 23.9255093 49.8409507, 23.9255021 49.8409565, 23.9254924 49.8409606, 23.9254813 49.8409626, 23.9254697 49.8409623, 23.9254589 49.8409597, 23.9254498 49.8409551, 23.9254435 49.8409488, 23.9254404 49.8409417, 23.9254409 49.8409342, 23.9254449 49.8409272, 23.9254521 49.8409214, 23.9254618 49.8409173, 23.9254729 49.8409153, 23.9254845 49.8409156))"
,,,,,,,playground,,,,,"POLYGON ((24.0174466 49.8039234, 24.01761 49.8038295, 24.0178058 49.8039715, 24.0176424 49.8040653, 24.0174466 49.8039234))"
вулиця Христини Сушко-Скачківської,20,Сто Білогорща,,,,,,,,car_repair,,"POLYGON ((23.930474 49.8488547, 23.9304525 49.8488413, 23.930516 49.8487991, 23.9306474 49.8488813, 23.930584 49.8489235, 23.9305653 49.8489118, 23.930524 49.8489392, 23.9304328 49.8488822, 23.930474 49.8488547))"
,,,,,,,pitch,,,,,"POLYGON ((24.0245624 49.7838276, 24.0245148 49.7836492, 24.0247338 49.7836248, 24.0249492 49.7836011, 24.0250967 49.7835847, 24.0251442 49.7837629, 24.0245624 49.7838276))"
,,,,,,,pitch,,,,,"POLYGON ((24.0251496 49.7837813, 24.0251651 49.7838398, 24.0251997 49.7839707, 24.024611 49.7840356, 24.0245609 49.7838463, 24.0251496 49.7837813))"
,,Художня школа академічного малювання,school,,,,,,,,,"POLYGON ((24.0702069 49.8192027, 24.0701523 49.8192246, 24.0701401 49.8191333, 24.0702069 49.8192027))"
Зелена вулиця,153,Під вишнею,bar,,,,,,,,,"POLYGON ((24.0631831 49.8050364, 24.0632859 49.8049064, 24.0633327 49.8049218, 24.0632299 49.8050518, 24.0631831 49.8050364))"
,,Військовий Храм Стрітення Господнього,place_of_worship,,,,,,,,,"POLYGON ((24.0164828 49.8519509, 24.016486 49.8519361, 24.0166242 49.8519485, 24.016621 49.8519633, 24.0166598 49.8519668, 24.0166397 49.8520603, 24.0166009 49.8520568, 24.0165975 49.8520724, 24.0164593 49.85206, 24.0164626 49.8520444, 24.0164179 49.8520404, 24.016438 49.8519469, 24.0164828 49.8519509))"
,,,parking,,,,,,,,,"POLYGON ((23.983045 49.8106533, 23.9833825 49.8112343, 23.9832002 49.8112763, 23.9828883 49.8106858, 23.983045 49.8106533))"
площа Марка Кропивницького,1,Церква святих Ольги і Єлизавети,place_of_worship,,,,,,,,,"POLYGON ((24.0051023 49.8371076, 24.0050728 49.8371442, 24.0050288 49.8371295, 24.0050194 49.8371372, 24.0050061 49.8371419, 24.0049911 49.837143, 24.0049764 49.8371403, 24.0049645 49.8371342, 24.0049571 49.8371256, 24.0049554 49.8371159, 24.0049597 49.8371064, 24.0049237 49.8370944, 24.0049051 49.8371175, 24.0048992 49.837125, 24.0048841 49.8371199, 24.00489 49.8371125, 24.004763 49.83707, 24.0047571 49.8370774, 24.004739 49.8370714, 24.004745 49.837064, 24.0047487 49.8370593, 24.0046473 49.8370254, 24.0046312 49.8370281, 24.0046278 49.8370197, 24.004644 49.8370171, 24.0046541 49.8370044, 24.0046046 49.8369879, 24.0045981 49.8369959, 24.004576 49.8369885, 24.0045825 49.8369805, 24.0045204 49.8369597, 24.0045146 49.836967, 24.0045002 49.8369622, 24.004506 49.8369549, 24.0044383 49.8369323, 24.0043573 49.8369052, 24.0043407 49.83691, 24.0043334 49.8368995, 24.004355 49.8368933, 24.004386 49.8368548, 24.0043576 49.8368453, 24.0043524 49.8368518, 24.0043374 49.8368468, 24.0043426 49.8368403, 24.0043328 49.836837, 24.0043397 49.8368284, 24.0043495 49.8368316, 24.0043831 49.8367899, 24.0044164 49.8367484, 24.0044052 49.8367446, 24.0044099 49.8367388, 24.0044145 49.836733, 24.0044257 49.8367368, 24.0044311 49.8367302, 24.0044444 49.8367347, 24.0044391 49.8367413, 24.0044691 49.8367513, 24.0045048 49.8367069, 24.0045003 49.8366934, 24.0045182 49.836691, 24.0045225 49.8367037, 24.004601 49.8367299, 24.0046682 49.8367524, 24.0046761 49.8367426, 24.0046914 49.8367477, 24.0046835 49.8367575, 24.0047404 49.8367765, 24.0047482 49.8367669, 24.0047631 49.8367719, 24.0047553 49.8367815, 24.0048168 49.836802, 24.0048244 49.8367926, 24.0048405 49.836798, 24.0048329 49.8368074, 24.0048739 49.8368211, 24.0048875 49.8368042, 24.0048839 49.8367936, 24.0049024 49.836791, 24.004905 49.8367981, 24.0049457 49.8368117, 24.004951 49.8368051, 24.0049686 49.836811, 24.0049633 49.8368176, 24.0050908 49.8368602, 24.0050976 49.8368517, 24.0051143 49.8368573, 24.0051074 49.8368658, 24.0051164 49.8368688, 24.00511 49.8368768, 24.005101 49.8368738, 24.0050863 49.8368921, 24.0051204 49.8369035, 24.0051299 49.8368958, 24.0051434 49.8368911, 24.0051585 49.83689, 24.0051731 49.8368928, 24.0051849 49.8368989, 24.0051922 49.8369075, 24.0051939 49.8369173, 24.0051897 49.8369266, 24.0052354 49.8369419, 24.0052081 49.8369759, 24.0052431 49.8369939, 24.0052648 49.8370193, 24.0052697 49.8370481, 24.0052573 49.8370759, 24.0052293 49.8370985, 24.00519 49.8371124, 24.0051454 49.8371156, 24.0051023 49.8371076))"
,,,,,,,swimming_pool,,,,,"POLYGON ((23.998463 49.8311143, 23.9984743 49.8311155, 23.9984844 49.8311189, 23.9984924 49.8311242, 23.9984975 49.8311308, 23.9984992 49.8311381, 23.9984973 49.8311454, 23.998492 49.8311519, 23.9984839 49.8311571, 23.9984736 49.8311603, 23.9984623 49.8311614, 23.9984511 49.8311602, 23.9984409 49.8311568, 23.9984329 49.8311515, 23.9984278 49.8311449, 23.9984261 49.8311376, 23.998428 49.8311304, 23.9984333 49.8311238, 23.9984415 49.8311187, 23.9984517 49.8311154, 23.998463 49.8311143))"
,,,parking,,,,,,,,,"POLYGON ((24.0609377 49.7945963, 24.0609817 49.7946136, 24.0606766 49.7949361, 24.0606326 49.7949188, 24.0609377 49.7945963))"
,,,parking,,,,,,,,,"POLYGON ((24.0600398 49.7941669, 24.0600157 49.7944682, 24.0599404 49.7944657, 24.0599645 49.7941644, 24.0600398 49.7941669))"
,,,parking,,,,,,,,,"POLYGON ((24.0582736 49.7950646, 24.0582629 49.7954793, 24.0581808 49.7954784, 24.0581915 49.7950638, 24.0582736 49.7950646))"
,,,parking,,,,,,,,,"POLYGON ((24.0597125 49.795101, 24.0597965 49.7951035, 24.0597764 49.7953848, 24.0596924 49.7953823, 24.0597125 49.795101))"
,,,parking,,,,,,,,,"POLYGON ((24.0597206 49.7947582, 24.0598031 49.7947608, 24.059787 49.7949746, 24.0597045 49.794972, 24.0597206 49.7947582))"
,,,parking,,,,,,,,,"POLYGON ((24.0598252 49.7943366, 24.0598078 49.7946785, 24.0597222 49.7946767, 24.0597397 49.7943348, 24.0598252 49.7943366))"
,,,parking,,,,,,,,,"POLYGON ((23.9859921 49.8185224, 23.9860563 49.8185064, 23.9861206 49.8186137, 23.9860564 49.8186297, 23.9859921 49.8185224))"
,,,parking,,,,,,,,,"POLYGON ((23.9854752 49.8338742, 23.9857037 49.8339179, 23.9857198 49.8341636, 23.9854141 49.8341186, 23.9854229 49.8340783, 23.9854752 49.8338742))"
